Author,Text
"
    Dr. Seuss
  ","
      “I have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But I've bought a big bat. I'm all ready you see. Now my troubles are going to have troubles with me!”
  "
"
    Aldous Huxley,
  ","
      “Words can be like X-rays if you use them properly -- they’ll go through anything. You read and you’re pierced.”
  "
"
    Charlotte Brontë,
  ","
      “Do you think I am an automaton? — a machine without feelings? and can bear to have my morsel of bread snatched from my lips, and my drop of living water dashed from my cup? Do you think, because I am poor, obscure, plain, and little, I am soulless and heartless? You think wrong! — I have as much soul as you — and full as much heart! And if God had gifted me with some beauty and much wealth, I should have made it as hard for you to leave me, as it is now for me to leave you. I am not talking to you now through the medium of custom, conventionalities, nor even of mortal flesh: it is my spirit that addresses your spirit; just as if both had passed through the grave, and we stood at God's feet, equal — as we are!”
  "
"
    Patrick Rothfuss,
  ","
      “It's like everyone tells a story about themselves inside their own head. Always. All the time. That story makes you what you are. We build ourselves out of that story.”
  "
"
    Nicholas Sparks,
  ","
      “I mean, if the relationship can't survive the long term, why on earth would it be worth my time and energy for the short term?”
  "
"
    Lance Armstrong Sally Jenkins,
  ","
      “Pain is temporary. Quitting lasts forever.”
  "
"
    Diane Duane,
  ","
      “Reading one book is like eating one potato chip.”
  "
"
    Annie Proulx
  ","
      “You know, one of the tragedies of real life is that there is no background music.”
  "
"
    Elie Wiesel
  ","
      “There may be times when we are powerless to prevent injustice, but there must never be a time when we fail to protest.”
  "
"
    John Green,
  ","
      “I believe the universe wants to be noticed. I think the universe is inprobably biased toward the consciousness, that it rewards intelligence in part because the universe enjoys its elegance being observed. And who am I, living in the middle of history, to tell the universe that it-or my observation of it-is temporary?”
  "
"
    E.L. James,
  ","
      “Laters, baby.”
  "
"
    Edward Gorey
  ","
      “Books. Cats. Life is Good.”
  "
"
    Terry Pratchett,
  ","
      “If cats looked like frogs we'd realize what nasty, cruel little bastards they are. Style. That's what people remember.”
  "
"
    George R.R. Martin,
  ","
      “Some old wounds never truly heal, and bleed again at the slightest word.”
  "
"
    Kalu Ndukwe Kalu
  ","
      “The things you do for yourself are gone when you are gone, but the things you do for others remain as your legacy.”
  "
"
    Antoine de Saint-Exupéry,
  ","
      “All grown-ups were once children... but only few of them remember it.”
  "
"
    Henry David Thoreau,
  ","
      “Rather than love, than money, than fame, give me truth.”
  "
"
    Vladimir Nabokov,
  ","
      “And the rest is rust and stardust.”
  "
"
    J.K. Rowling,
  ","
      “Albus Severus,"" Harry said quietly, so that nobody but Ginny could hear, and she was tactful enough to pretend to be waving to Rose, who was now on the train, ""you were named for two headmasters of Hogwarts. One of them was a Slytherin and he was probably the bravest man I ever knew.”
  "
"
    Albert Einstein
  ","
      “I know not with what weapons World War III will be fought, but World War IV will be fought with sticks and stones.”
  "
"
    Lewis Carroll,
  ","
      “Would you tell me, please, which way I ought to go from here?"""
"
    John Green,
  ","
      “That’s part of what I like about the book in some ways. It portrays death truthfully. You die in the middle of your life, in the middle of a sentence”
  "
"
    A.A. Milne,
  ","
      “I think we dream so we don’t have to be apart for so long. If we’re in each other’s dreams, we can be together all the time.”
  "
"
    Corrie Ten Boom,
  ","
      “Worry does not empty tomorrow of its sorrow, it empties today of its strength.”
  "
"
    Fyodor Dostoevsky,
  ","
      “To go wrong in one's own way is better than to go right in someone else's.”
  "
"
    Allen Ginsberg
  ","
      “Follow your inner moonlight; don't hide the madness.”
  "
"
    William Shakespeare
  ","
      “We know what we are, but not what we may be.”
  "
"
    Cassandra Clare,
  ","
      “Don't."" Clary raised a warning hand. ""I'm not really in the mood right now."""
"
    Sarah Dessen,
  ","
      “It's just that...I just think that some things are meant to be broken. Imperfect. Chaotic. It's the universe's way of providing contrast, you know? There have to be a few holes in the road. It's how life is.”
  "
"
    Martin Luther King Jr.,
  ","
      “There comes a time when one must take a position that is neither safe, nor politic, nor popular, but he must take it because conscience tells him it is right.”
  "
"
    Steve Maraboli,
  ","
      “Dare to Be"
"
    Ernest Hemingway
  ","
      “The best way to find out if you can trust somebody is to trust them.”
  "
"
    Marilyn Monroe
  ","
      “You believe lies so you eventually learn to trust no one but yourself.”
  "
"
    Lou Holtz
  ","
      “It's not the load that breaks you down, it's the way you carry it.”
  "
"
    Leo Tolstoy,
  ","
      “I think... if it is true that "
"
    Charles Bukowski,
  ","
      “there is a loneliness in this world so great"
"
    Lemony Snicket,
  ","
      “If writers wrote as carelessly as some people talk, then adhasdh asdglaseuyt[bn[ pasdlgkhasdfasdf.”
  "
"
    James Patterson,
  ","
      “Basically, I have two speeds.... Hostile or smart-aleck. Your choice.”
  "
"
    Jeanette Winterson
  ","
      “Book collecting is an obsession, an occupation, a disease, an addiction, a fascination, an absurdity, a fate. It is not a hobby. Those who do it must do it.”
  "
"
    David Foster Wallace,
  ","
      “Everybody is identical in their secret unspoken belief that way deep down they are different from everyone else.”
  "
"
    Orhan Pamuk,
  ","
      “I read a book one day and my whole life was changed.”
  "
"
    Paulo Coelho,
  ","
      “Everything tells me that I am about to make a wrong decision, but making mistakes is just part of life. What does the world want of me? Does it want me to take no risks, to go back to where I came from because I didn't have the courage to say ""yes"" to life?”
  "
"
    Mawlana Jalal-al-Din Rumi,
  ","
      “The minute I heard my first love story,"
"
    Erica Jong
  ","
      “Everyone has talent. What's rare is the courage to follow it to the dark places where it leads.”
  "
"
    Mark Twain
  ","
      “Books are for people who wish they were somewhere else.”
  "
"
    Jim MORRISON
  ","
      “The most important kind of freedom is to be what you really are. You trade in your reality for a role. You trade in your sense for an act. You give up your ability to feel, and in exchange, put on a mask. There can't be any large-scale revolution until there's a personal revolution, on an individual level. It's got to happen inside first.”
  "
